recordID,species,scientificName,gbif_JSON,gbif_family,EOL-ID,mo,dy,yr,period,plot,note1,stake,locality,coordinates,county,state,country,sex
7645,AH,Ammospermophilus harrisii harrisii (Audubon &amp; Bachman 1854),"{""usageKey"":2437568,""scientificName"":""Ammospermophilus harrisii (Audubon & Bachman, 1854)"",""canonicalName"":""Ammospermophilus harrisii"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Sciuridae"",""genus"":""Ammospermophilus"",""species"":""Ammospermophilus harrisii"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":9456,""genusKey"":2437567,""speciesKey"":2437568,""synonym"":false,""class"":""Mammalia""}",Sciuridae,pages/4466680,4,16,1983,67,24,13,21,near Lake Lindsey.,28.63444|-82.35944,Hernando,Florida,United States of America,
9495,AH,Ammospermophilus harrisii harrisii (Audubon &amp; Bachman 1854),"{""usageKey"":2437568,""scientificName"":""Ammospermophilus harrisii (Audubon & Bachman, 1854)"",""canonicalName"":""Ammospermophilus harrisii"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Sciuridae"",""genus"":""Ammospermophilus"",""species"":""Ammospermophilus harrisii"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":9456,""genusKey"":2437567,""speciesKey"":2437568,""synonym"":false,""class"":""Mammalia""}",Sciuridae,pages/4466680,8,26,1984,82,9,13,21,3.5 miles north of Allicance Cross Road on Fla. Rt. 71.,,Jackson,Florida,United States of America,
9583,AH,Ammospermophilus harrisii harrisii (Audubon &amp; Bachman 1854),"{""usageKey"":2437568,""scientificName"":""Ammospermophilus harrisii (Audubon & Bachman, 1854)"",""canonicalName"":""Ammospermophilus harrisii"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Sciuridae"",""genus"":""Ammospermophilus"",""species"":""Ammospermophilus harrisii"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":9456,""genusKey"":2437567,""speciesKey"":2437568,""synonym"":false,""class"":""Mammalia""}",Sciuridae,pages/4466680,9,30,1984,83,15,13,37,"St. Vincent Island, wet swale",,NULL,NULL,UNITED STATES,
9862,AH,Ammospermophilus harrisii harrisii (Audubon &amp; Bachman 1854),"{""usageKey"":2437568,""scientificName"":""Ammospermophilus harrisii (Audubon & Bachman, 1854)"",""canonicalName"":""Ammospermophilus harrisii"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Sciuridae"",""genus"":""Ammospermophilus"",""species"":""Ammospermophilus harrisii"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":9456,""genusKey"":2437567,""speciesKey"":2437568,""synonym"":false,""class"":""Mammalia""}",Sciuridae,pages/4466680,1,20,1985,86,13,13,11,"Eagle Mountain Trailhead, Clearwater National Forest",46.33778|-115.11639,Idaho,Idaho,UNITED STATES,
9882,AH,Ammospermophilus harrisii harrisii (Audubon &amp; Bachman 1854),"{""usageKey"":2437568,""scientificName"":""Ammospermophilus harrisii (Audubon & Bachman, 1854)"",""canonicalName"":""Ammospermophilus harrisii"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Sciuridae"",""genus"":""Ammospermophilus"",""species"":""Ammospermophilus harrisii"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":9456,""genusKey"":2437567,""speciesKey"":2437568,""synonym"":false,""class"":""Mammalia""}",Sciuridae,pages/4466680,1,20,1985,86,15,13,31,"Eagle Mountain Trailhead, Clearwater National Forest",46.33778|-115.11639,Idaho,Idaho,UNITED STATES,
9891,AH,Ammospermophilus harrisii harrisii (Audubon &amp; Bachman 1854),"{""usageKey"":2437568,""scientificName"":""Ammospermophilus harrisii (Audubon & Bachman, 1854)"",""canonicalName"":""Ammospermophilus harrisii"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Sciuridae"",""genus"":""Ammospermophilus"",""species"":""Ammospermophilus harrisii"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":9456,""genusKey"":2437567,""speciesKey"":2437568,""synonym"":false,""class"":""Mammalia""}",Sciuridae,pages/4466680,1,20,1985,86,1,13,43,"Split Creek Trail, Nez Perce National Forest",45.45|-115.91667,Idaho,Idaho,UNITED STATES,
9939,AH,Ammospermophilus harrisii harrisii (Audubon &amp; Bachman 1854),"{""usageKey"":2437568,""scientificName"":""Ammospermophilus harrisii (Audubon & Bachman, 1854)"",""canonicalName"":""Ammospermophilus harrisii"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Sciuridae"",""genus"":""Ammospermophilus"",""species"":""Ammospermophilus harrisii"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":9456,""genusKey"":2437567,""speciesKey"":2437568,""synonym"":false,""class"":""Mammalia""}",Sciuridae,pages/4466680,2,16,1985,87,20,13,25,"Split Creek Trail, Nez Perce National Forest",45.45|-115.91667,Idaho,Idaho,UNITED STATES,
10153,AH,Ammospermophilus harrisii harrisii (Audubon &amp; Bachman 1854),"{""usageKey"":2437568,""scientificName"":""Ammospermophilus harrisii (Audubon & Bachman, 1854)"",""canonicalName"":""Ammospermophilus harrisii"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Sciuridae"",""genus"":""Ammospermophilus"",""species"":""Ammospermophilus harrisii"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":9456,""genusKey"":2437567,""speciesKey"":2437568,""synonym"":false,""class"":""Mammalia""}",Sciuridae,pages/4466680,4,20,1985,-88,24,13,15,"Split Creek Trail, Nez Perce National Forest",45.45|-115.91667,Idaho,Idaho,UNITED STATES,
10450,AH,Ammospermophilus harrisii harrisii (Audubon &amp; Bachman 1854),"{""usageKey"":2437568,""scientificName"":""Ammospermophilus harrisii (Audubon & Bachman, 1854)"",""canonicalName"":""Ammospermophilus harrisii"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Sciuridae"",""genus"":""Ammospermophilus"",""species"":""Ammospermophilus harrisii"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":9456,""genusKey"":2437567,""speciesKey"":2437568,""synonym"":false,""class"":""Mammalia""}",Sciuridae,pages/4466680,6,15,1985,90,19,13,13,"Canyon Creek Trailhead, Clearwater National Forest",45.389905|-114.804434,Idaho,Idaho,UNITED STATES,
10498,AH,Ammospermophilus harrisii harrisii (Audubon &amp; Bachman 1854),"{""usageKey"":2437568,""scientificName"":""Ammospermophilus harrisii (Audubon & Bachman, 1854)"",""canonicalName"":""Ammospermophilus harrisii"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Sciuridae"",""genus"":""Ammospermophilus"",""species"":""Ammospermophilus harrisii"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":9456,""genusKey"":2437567,""speciesKey"":2437568,""synonym"":false,""class"":""Mammalia""}",Sciuridae,pages/4466680,6,16,1985,90,3,13,24,"FS Rd 25 4.6 mi S of FS Rd 300, Gifford Pinchot National Forest",,Lewis,Washington,UNITED STATES,
